Report Date,Crime Category,count
2009-01-27,Burglary,34
2009-01-27,Larceny-From Vehicle,37
2009-01-27,Larceny-Non Vehicle,24
2009-01-27,Robbery,8
2009-01-28,Agg Assault,8
2009-01-28,Auto Theft,11
2009-01-28,Burglary,30
2009-01-28,Larceny-From Vehicle,27
2009-01-28,Larceny-Non Vehicle,16
2009-01-28,Robbery,3
2009-01-29,Agg Assault,9
2009-01-29,Auto Theft,20
2009-01-29,Burglary,23
2009-01-29,Larceny-From Vehicle,29
2009-01-29,Larceny-Non Vehicle,27
2009-01-29,Robbery,7
2009-01-30,Agg Assault,5
2009-01-30,Auto Theft,12
2009-01-30,Burglary,41
2009-01-30,Homicide,1
2009-01-30,Larceny-From Vehicle,26
2009-01-30,Larceny-Non Vehicle,19
2009-01-30,Robbery,5
2009-01-31,Agg Assault,10
2009-01-31,Auto Theft,10
2009-01-31,Burglary,18
2009-01-31,Homicide,1
2009-01-31,Larceny-From Vehicle,37
2009-01-31,Larceny-Non Vehicle,19
2009-01-31,Robbery,2
2009-02-01,Agg Assault,11
2009-02-01,Auto Theft,19
2009-02-01,Burglary,17
2009-02-01,Homicide,1
2009-02-01,Larceny-From Vehicle,32
2009-02-01,Larceny-Non Vehicle,15
2009-02-01,Robbery,7
2009-02-02,Agg Assault,6
2009-02-02,Auto Theft,10
2009-02-02,Burglary,25
2009-02-02,Homicide,1
2009-02-02,Larceny-From Vehicle,29
2009-02-02,Larceny-Non Vehicle,23
2009-02-02,Robbery,9
2009-02-03,Agg Assault,5
2009-02-03,Auto Theft,17
2009-02-03,Burglary,22
2009-02-03,Larceny-From Vehicle,33
2009-02-03,Larceny-Non Vehicle,21
2009-02-03,Robbery,8
2009-02-04,Agg Assault,3
2009-02-04,Auto Theft,6
2009-02-04,Burglary,28
2009-02-04,Larceny-From Vehicle,24
2009-02-04,Larceny-Non Vehicle,20
2009-02-04,Robbery,2
2009-02-05,Agg Assault,8
2009-02-05,Auto Theft,15
2009-02-05,Burglary,23
2009-02-05,Larceny-From Vehicle,28
2009-02-05,Larceny-Non Vehicle,28
2009-02-05,Robbery,4
2009-02-06,Agg Assault,7
2009-02-06,Auto Theft,11
2009-02-06,Burglary,21
2009-02-06,Larceny-From Vehicle,42
2009-02-06,Larceny-Non Vehicle,27
2009-02-06,Robbery,6
2009-02-07,Agg Assault,11
2009-02-07,Auto Theft,8
2009-02-07,Burglary,23
2009-02-07,Homicide,1
2009-02-07,Larceny-From Vehicle,24
2009-02-07,Larceny-Non Vehicle,11
2009-02-07,Robbery,11
2009-02-08,Agg Assault,7
2009-02-08,Auto Theft,19
2009-02-08,Burglary,12
2009-02-08,Larceny-From Vehicle,23
2009-02-08,Larceny-Non Vehicle,16
2009-02-08,Robbery,4
2009-02-09,Agg Assault,6
2009-02-09,Auto Theft,13
2009-02-09,Burglary,20
2009-02-09,Larceny-From Vehicle,35
2009-02-09,Larceny-Non Vehicle,36
2009-02-09,Robbery,5
2009-02-10,Agg Assault,9
2009-02-10,Auto Theft,14
2009-02-10,Burglary,19
2009-02-10,Larceny-From Vehicle,25
2009-02-10,Larceny-Non Vehicle,19
2009-02-10,Robbery,8
2009-02-11,Agg Assault,13
2009-02-11,Auto Theft,9
2009-02-11,Burglary,27
2009-02-11,Larceny-From Vehicle,27
2009-02-11,Larceny-Non Vehicle,26
2009-02-11,Robbery,3
2009-02-12,Agg Assault,4
2009-02-12,Auto Theft,14
2009-02-12,Burglary,24
2009-02-12,Larceny-From Vehicle,22
2009-02-12,Larceny-Non Vehicle,24
2009-02-12,Robbery,3
2009-02-13,Agg Assault,7
2009-02-13,Auto Theft,15
2009-02-13,Burglary,27
2009-02-13,Homicide,1
2009-02-13,Larceny-From Vehicle,26
2009-02-13,Larceny-Non Vehicle,20
2009-02-13,Robbery,5
2009-02-14,Agg Assault,9
2009-02-14,Auto Theft,14
2009-02-14,Burglary,5
2009-02-14,Larceny-From Vehicle,25
2009-02-14,Larceny-Non Vehicle,16
2009-02-14,Robbery,3
2009-02-15,Agg Assault,4
2009-02-15,Auto Theft,19
2009-02-15,Burglary,12
2009-02-15,Homicide,1
2009-02-15,Larceny-From Vehicle,21
2009-02-15,Larceny-Non Vehicle,16
2009-02-16,Agg Assault,5
2009-02-16,Auto Theft,13
2009-02-16,Burglary,21
2009-02-16,Larceny-From Vehicle,24
2009-02-16,Larceny-Non Vehicle,16
2009-02-16,Robbery,3
2009-02-17,Agg Assault,4
2009-02-17,Auto Theft,11
2009-02-17,Burglary,16
2009-02-17,Larceny-From Vehicle,35
2009-02-17,Larceny-Non Vehicle,20
2009-02-17,Robbery,6
2009-02-18,Agg Assault,4
2009-02-18,Auto Theft,16
2009-02-18,Burglary,25
2009-02-18,Homicide,1
2009-02-18,Larceny-From Vehicle,35
2009-02-18,Larceny-Non Vehicle,19
2009-02-18,Robbery,8
2009-02-19,Agg Assault,2
2009-02-19,Auto Theft,13
2009-02-19,Burglary,22
2009-02-19,Homicide,1
2009-02-19,Larceny-From Vehicle,26
2009-02-19,Larceny-Non Vehicle,24
2009-02-19,Robbery,8
2009-02-20,Agg Assault,6
2009-02-20,Auto Theft,10
2009-02-20,Burglary,20
2009-02-20,Larceny-From Vehicle,24
2009-02-20,Larceny-Non Vehicle,21
2009-02-20,Robbery,3
2009-02-21,Agg Assault,10
2009-02-21,Auto Theft,14
2009-02-21,Burglary,19
2009-02-21,Homicide,1
2009-02-21,Larceny-From Vehicle,25
2009-02-21,Larceny-Non Vehicle,13
2009-02-21,Robbery,11
2009-02-22,Agg Assault,12
2009-02-22,Auto Theft,14
2009-02-22,Burglary,14
2009-02-22,Homicide,1
2009-02-22,Larceny-From Vehicle,29
2009-02-22,Larceny-Non Vehicle,18
2009-02-22,Robbery,2
2009-02-23,Agg Assault,7
2009-02-23,Auto Theft,14
2009-02-23,Burglary,17
