Report Date,Crime Category,count
2011-07-05,Larceny-Non Vehicle,33
2011-07-05,Robbery,6
2011-07-06,Agg Assault,7
2011-07-06,Auto Theft,19
2011-07-06,Burglary,18
2011-07-06,Larceny-From Vehicle,22
2011-07-06,Larceny-Non Vehicle,42
2011-07-06,Robbery,6
2011-07-07,Agg Assault,6
2011-07-07,Auto Theft,22
2011-07-07,Burglary,27
2011-07-07,Larceny-From Vehicle,31
2011-07-07,Larceny-Non Vehicle,25
2011-07-07,Robbery,8
2011-07-08,Agg Assault,7
2011-07-08,Auto Theft,16
2011-07-08,Burglary,24
2011-07-08,Larceny-From Vehicle,19
2011-07-08,Larceny-Non Vehicle,36
2011-07-08,Robbery,9
2011-07-09,Agg Assault,5
2011-07-09,Auto Theft,15
2011-07-09,Burglary,13
2011-07-09,Homicide,1
2011-07-09,Larceny-From Vehicle,25
2011-07-09,Larceny-Non Vehicle,25
2011-07-09,Robbery,4
2011-07-10,Agg Assault,8
2011-07-10,Auto Theft,13
2011-07-10,Burglary,16
2011-07-10,Larceny-From Vehicle,19
2011-07-10,Larceny-Non Vehicle,12
2011-07-10,Robbery,4
2011-07-11,Agg Assault,9
2011-07-11,Auto Theft,24
2011-07-11,Burglary,29
2011-07-11,Larceny-From Vehicle,29
2011-07-11,Larceny-Non Vehicle,37
2011-07-11,Robbery,9
2011-07-12,Agg Assault,10
2011-07-12,Auto Theft,14
2011-07-12,Burglary,17
2011-07-12,Larceny-From Vehicle,31
2011-07-12,Larceny-Non Vehicle,31
2011-07-12,Robbery,10
2011-07-13,Agg Assault,10
2011-07-13,Auto Theft,22
2011-07-13,Burglary,22
2011-07-13,Larceny-From Vehicle,22
2011-07-13,Larceny-Non Vehicle,37
2011-07-13,Robbery,6
2011-07-14,Agg Assault,4
2011-07-14,Auto Theft,25
2011-07-14,Burglary,21
2011-07-14,Larceny-From Vehicle,14
2011-07-14,Larceny-Non Vehicle,31
2011-07-14,Robbery,8
2011-07-15,Agg Assault,8
2011-07-15,Auto Theft,16
2011-07-15,Burglary,28
2011-07-15,Homicide,1
2011-07-15,Larceny-From Vehicle,15
2011-07-15,Larceny-Non Vehicle,24
2011-07-15,Robbery,9
2011-07-16,Agg Assault,11
2011-07-16,Auto Theft,21
2011-07-16,Burglary,15
2011-07-16,Larceny-From Vehicle,28
2011-07-16,Larceny-Non Vehicle,24
2011-07-16,Robbery,6
2011-07-17,Agg Assault,7
2011-07-17,Auto Theft,16
2011-07-17,Burglary,18
2011-07-17,Larceny-From Vehicle,31
2011-07-17,Larceny-Non Vehicle,21
2011-07-17,Robbery,5
2011-07-18,Agg Assault,8
2011-07-18,Auto Theft,16
2011-07-18,Burglary,28
2011-07-18,Larceny-From Vehicle,23
2011-07-18,Larceny-Non Vehicle,41
2011-07-18,Robbery,12
2011-07-19,Agg Assault,3
2011-07-19,Auto Theft,18
2011-07-19,Burglary,29
2011-07-19,Larceny-From Vehicle,19
2011-07-19,Larceny-Non Vehicle,29
2011-07-19,Robbery,4
2011-07-20,Agg Assault,8
2011-07-20,Auto Theft,13
2011-07-20,Burglary,24
2011-07-20,Larceny-From Vehicle,17
2011-07-20,Larceny-Non Vehicle,36
2011-07-20,Robbery,5
2011-07-21,Agg Assault,9
2011-07-21,Auto Theft,19
2011-07-21,Burglary,24
2011-07-21,Larceny-From Vehicle,32
2011-07-21,Larceny-Non Vehicle,27
2011-07-21,Robbery,7
2011-07-22,Agg Assault,7
2011-07-22,Auto Theft,21
2011-07-22,Burglary,27
2011-07-22,Larceny-From Vehicle,31
2011-07-22,Larceny-Non Vehicle,19
2011-07-22,Robbery,2
2011-07-23,Agg Assault,7
2011-07-23,Auto Theft,23
2011-07-23,Burglary,25
2011-07-23,Homicide,2
2011-07-23,Larceny-From Vehicle,35
2011-07-23,Larceny-Non Vehicle,16
2011-07-23,Robbery,11
2011-07-24,Agg Assault,5
2011-07-24,Auto Theft,18
2011-07-24,Burglary,19
2011-07-24,Larceny-From Vehicle,27
2011-07-24,Larceny-Non Vehicle,10
2011-07-24,Robbery,4
2011-07-25,Agg Assault,6
2011-07-25,Auto Theft,23
2011-07-25,Burglary,30
2011-07-25,Larceny-From Vehicle,39
2011-07-25,Larceny-Non Vehicle,25
2011-07-25,Robbery,9
2011-07-26,Agg Assault,8
2011-07-26,Auto Theft,23
2011-07-26,Burglary,31
2011-07-26,Larceny-From Vehicle,33
2011-07-26,Larceny-Non Vehicle,23
2011-07-26,Robbery,13
2011-07-27,Agg Assault,9
2011-07-27,Auto Theft,18
2011-07-27,Burglary,35
2011-07-27,Larceny-From Vehicle,28
2011-07-27,Larceny-Non Vehicle,28
2011-07-27,Robbery,5
2011-07-28,Agg Assault,7
2011-07-28,Auto Theft,20
2011-07-28,Burglary,20
2011-07-28,Larceny-From Vehicle,21
2011-07-28,Larceny-Non Vehicle,21
2011-07-28,Robbery,6
2011-07-29,Agg Assault,6
2011-07-29,Auto Theft,17
2011-07-29,Burglary,32
2011-07-29,Larceny-From Vehicle,25
2011-07-29,Larceny-Non Vehicle,22
2011-07-29,Robbery,6
2011-07-30,Agg Assault,10
2011-07-30,Auto Theft,15
2011-07-30,Burglary,16
2011-07-30,Larceny-From Vehicle,22
2011-07-30,Larceny-Non Vehicle,23
2011-07-30,Robbery,12
2011-07-31,Agg Assault,10
2011-07-31,Auto Theft,21
2011-07-31,Burglary,24
2011-07-31,Homicide,1
2011-07-31,Larceny-From Vehicle,30
2011-07-31,Larceny-Non Vehicle,25
2011-07-31,Robbery,7
2011-08-01,Agg Assault,13
2011-08-01,Auto Theft,24
2011-08-01,Burglary,46
2011-08-01,Larceny-From Vehicle,25
2011-08-01,Larceny-Non Vehicle,28
2011-08-01,Robbery,14
2011-08-02,Agg Assault,8
2011-08-02,Auto Theft,26
2011-08-02,Burglary,34
2011-08-02,Larceny-From Vehicle,20
2011-08-02,Larceny-Non Vehicle,28
2011-08-02,Robbery,6
2011-08-03,Agg Assault,3
2011-08-03,Auto Theft,17
2011-08-03,Burglary,22
2011-08-03,Larceny-From Vehicle,22
2011-08-03,Larceny-Non Vehicle,30
2011-08-03,Robbery,5
2011-08-04,Agg Assault,8
2011-08-04,Auto Theft,24
2011-08-04,Burglary,28
2011-08-04,Larceny-From Vehicle,20
2011-08-04,Larceny-Non Vehicle,31
2011-08-04,Robbery,6
2011-08-05,Agg Assault,9
2011-08-05,Auto Theft,19
2011-08-05,Burglary,22
2011-08-05,Larceny-From Vehicle,20
2011-08-05,Larceny-Non Vehicle,26
2011-08-05,Robbery,10
2011-08-06,Agg Assault,6
2011-08-06,Auto Theft,16
2011-08-06,Burglary,19
2011-08-06,Larceny-From Vehicle,18
2011-08-06,Larceny-Non Vehicle,17
2011-08-06,Robbery,5
2011-08-07,Agg Assault,11
2011-08-07,Auto Theft,15
2011-08-07,Burglary,30
2011-08-07,Larceny-From Vehicle,21
2011-08-07,Larceny-Non Vehicle,17
2011-08-07,Robbery,8
2011-08-08,Agg Assault,6
2011-08-08,Auto Theft,20
2011-08-08,Burglary,41
2011-08-08,Larceny-From Vehicle,25
2011-08-08,Larceny-Non Vehicle,27
2011-08-08,Robbery,8
2011-08-09,Agg Assault,5
2011-08-09,Auto Theft,13
2011-08-09,Burglary,32
2011-08-09,Larceny-From Vehicle,16
2011-08-09,Larceny-Non Vehicle,29
2011-08-09,Robbery,7
2011-08-10,Agg Assault,10
2011-08-10,Auto Theft,15
2011-08-10,Burglary,26
2011-08-10,Homicide,1
2011-08-10,Larceny-From Vehicle,24
2011-08-10,Larceny-Non Vehicle,19
2011-08-10,Robbery,5
2011-08-11,Agg Assault,8
2011-08-11,Auto Theft,11
2011-08-11,Burglary,23
2011-08-11,Larceny-From Vehicle,18
2011-08-11,Larceny-Non Vehicle,30
2011-08-11,Robbery,10
2011-08-12,Agg Assault,9
2011-08-12,Auto Theft,16
2011-08-12,Burglary,25
2011-08-12,Larceny-From Vehicle,21
2011-08-12,Larceny-Non Vehicle,29
2011-08-12,Robbery,8
2011-08-13,Agg Assault,5
2011-08-13,Auto Theft,13
2011-08-13,Burglary,22
2011-08-13,Larceny-From Vehicle,28
2011-08-13,Larceny-Non Vehicle,20
2011-08-13,Robbery,8
2011-08-14,Agg Assault,9
2011-08-14,Auto Theft,11
2011-08-14,Burglary,14
2011-08-14,Larceny-From Vehicle,16
2011-08-14,Larceny-Non Vehicle,17
2011-08-14,Robbery,7
2011-08-15,Agg Assault,6
2011-08-15,Auto Theft,14
2011-08-15,Burglary,31
2011-08-15,Larceny-From Vehicle,30
2011-08-15,Larceny-Non Vehicle,22
2011-08-15,Robbery,9
2011-08-16,Agg Assault,7
2011-08-16,Auto Theft,8
2011-08-16,Burglary,20
2011-08-16,Homicide,1
2011-08-16,Larceny-From Vehicle,23
2011-08-16,Larceny-Non Vehicle,29
2011-08-16,Robbery,5
2011-08-17,Agg Assault,3
2011-08-17,Auto Theft,24
2011-08-17,Burglary,33
2011-08-17,Larceny-From Vehicle,22
2011-08-17,Larceny-Non Vehicle,25
2011-08-17,Robbery,2
2011-08-18,Agg Assault,4
2011-08-18,Auto Theft,14
2011-08-18,Burglary,24
2011-08-18,Larceny-From Vehicle,23
2011-08-18,Larceny-Non Vehicle,33
2011-08-18,Robbery,4
2011-08-19,Agg Assault,9
2011-08-19,Auto Theft,25
2011-08-19,Burglary,16
2011-08-19,Larceny-From Vehicle,19
2011-08-19,Larceny-Non Vehicle,36
2011-08-19,Robbery,4
2011-08-20,Agg Assault,11
2011-08-20,Auto Theft,16
2011-08-20,Burglary,19
2011-08-20,Homicide,1
2011-08-20,Larceny-From Vehicle,15
2011-08-20,Larceny-Non Vehicle,26
2011-08-20,Robbery,13
2011-08-21,Agg Assault,9
2011-08-21,Auto Theft,11
2011-08-21,Burglary,16
2011-08-21,Larceny-From Vehicle,22
2011-08-21,Larceny-Non Vehicle,24
2011-08-21,Robbery,6
2011-08-22,Agg Assault,11
2011-08-22,Auto Theft,15
2011-08-22,Burglary,27
2011-08-22,Larceny-From Vehicle,24
2011-08-22,Larceny-Non Vehicle,33
2011-08-22,Robbery,11
2011-08-23,Agg Assault,3
2011-08-23,Auto Theft,28
2011-08-23,Burglary,31
2011-08-23,Larceny-From Vehicle,16
2011-08-23,Larceny-Non Vehicle,21
2011-08-23,Robbery,8
2011-08-24,Agg Assault,8
2011-08-24,Auto Theft,10
2011-08-24,Burglary,27
2011-08-24,Larceny-From Vehicle,41
2011-08-24,Larceny-Non Vehicle,25
2011-08-24,Robbery,13
2011-08-25,Agg Assault,6
2011-08-25,Auto Theft,20
2011-08-25,Burglary,26
2011-08-25,Larceny-From Vehicle,22
2011-08-25,Larceny-Non Vehicle,26
2011-08-25,Robbery,11
2011-08-26,Agg Assault,4
2011-08-26,Auto Theft,15
2011-08-26,Burglary,27
2011-08-26,Larceny-From Vehicle,34
2011-08-26,Larceny-Non Vehicle,21
2011-08-26,Robbery,8
2011-08-27,Agg Assault,5
2011-08-27,Auto Theft,25
2011-08-27,Burglary,26
2011-08-27,Larceny-From Vehicle,23
2011-08-27,Larceny-Non Vehicle,18
2011-08-27,Robbery,8
2011-08-28,Agg Assault,8
2011-08-28,Auto Theft,8
2011-08-28,Burglary,23
2011-08-28,Larceny-From Vehicle,17
2011-08-28,Larceny-Non Vehicle,22
2011-08-28,Robbery,5
2011-08-29,Agg Assault,5
2011-08-29,Auto Theft,23
2011-08-29,Burglary,30
2011-08-29,Homicide,1
2011-08-29,Larceny-From Vehicle,37
2011-08-29,Larceny-Non Vehicle,46
2011-08-29,Robbery,11
2011-08-30,Agg Assault,11
2011-08-30,Auto Theft,11
2011-08-30,Burglary,23
2011-08-30,Larceny-From Vehicle,16
2011-08-30,Larceny-Non Vehicle,25
2011-08-30,Robbery,8
2011-08-31,Agg Assault,8
2011-08-31,Auto Theft,20
2011-08-31,Burglary,26
2011-08-31,Larceny-From Vehicle,24
2011-08-31,Larceny-Non Vehicle,22
2011-08-31,Robbery,7
2011-09-01,Agg Assault,9
2011-09-01,Auto Theft,13
2011-09-01,Burglary,27
2011-09-01,Larceny-From Vehicle,29
2011-09-01,Larceny-Non Vehicle,20
2011-09-01,Robbery,8
2011-09-02,Agg Assault,8
2011-09-02,Auto Theft,21
2011-09-02,Burglary,23
2011-09-02,Larceny-From Vehicle,26
2011-09-02,Larceny-Non Vehicle,22
2011-09-02,Robbery,4
2011-09-03,Agg Assault,14
2011-09-03,Auto Theft,19
2011-09-03,Burglary,25
2011-09-03,Larceny-From Vehicle,22
2011-09-03,Larceny-Non Vehicle,25
2011-09-03,Robbery,5
2011-09-04,Agg Assault,16
2011-09-04,Auto Theft,19
2011-09-04,Burglary,13
2011-09-04,Homicide,1
2011-09-04,Larceny-From Vehicle,30
2011-09-04,Larceny-Non Vehicle,22
2011-09-04,Robbery,13
2011-09-05,Agg Assault,3
2011-09-05,Auto Theft,13
2011-09-05,Burglary,14
2011-09-05,Larceny-From Vehicle,19
2011-09-05,Larceny-Non Vehicle,13
2011-09-05,Robbery,8
2011-09-06,Agg Assault,6
2011-09-06,Auto Theft,18
2011-09-06,Burglary,20
2011-09-06,Larceny-From Vehicle,26
2011-09-06,Larceny-Non Vehicle,24
2011-09-06,Robbery,5
2011-09-07,Agg Assault,4
2011-09-07,Auto Theft,15
2011-09-07,Burglary,15
2011-09-07,Larceny-From Vehicle,20
2011-09-07,Larceny-Non Vehicle,33
2011-09-07,Robbery,4
2011-09-08,Agg Assault,6
2011-09-08,Auto Theft,13
2011-09-08,Burglary,28
2011-09-08,Homicide,1
2011-09-08,Larceny-From Vehicle,19
2011-09-08,Larceny-Non Vehicle,37
2011-09-08,Robbery,6
2011-09-09,Agg Assault,4
2011-09-09,Auto Theft,12
2011-09-09,Burglary,26
2011-09-09,Homicide,1
2011-09-09,Larceny-From Vehicle,20
2011-09-09,Larceny-Non Vehicle,23
2011-09-09,Robbery,3
2011-09-10,Agg Assault,12
2011-09-10,Auto Theft,17
2011-09-10,Burglary,23
2011-09-10,Larceny-From Vehicle,28
2011-09-10,Larceny-Non Vehicle,13
2011-09-10,Robbery,9
2011-09-11,Agg Assault,10
2011-09-11,Auto Theft,7
2011-09-11,Burglary,15
2011-09-11,Larceny-From Vehicle,20
2011-09-11,Larceny-Non Vehicle,22
2011-09-11,Robbery,6
2011-09-12,Agg Assault,6
2011-09-12,Auto Theft,8
2011-09-12,Burglary,32
2011-09-12,Larceny-From Vehicle,23
2011-09-12,Larceny-Non Vehicle,23
2011-09-12,Robbery,5
2011-09-13,Agg Assault,11
2011-09-13,Auto Theft,11
2011-09-13,Burglary,16
2011-09-13,Larceny-From Vehicle,23
2011-09-13,Larceny-Non Vehicle,24
2011-09-13,Robbery,4
2011-09-14,Agg Assault,9
2011-09-14,Auto Theft,14
2011-09-14,Burglary,20
2011-09-14,Larceny-From Vehicle,11
2011-09-14,Larceny-Non Vehicle,35
2011-09-14,Robbery,3
2011-09-15,Agg Assault,5
2011-09-15,Auto Theft,11
2011-09-15,Burglary,22
2011-09-15,Homicide,1
2011-09-15,Larceny-From Vehicle,16
2011-09-15,Larceny-Non Vehicle,40
2011-09-15,Robbery,6
2011-09-16,Agg Assault,5
2011-09-16,Auto Theft,9
2011-09-16,Burglary,25
2011-09-16,Larceny-From Vehicle,24
2011-09-16,Larceny-Non Vehicle,25
2011-09-16,Robbery,8
2011-09-17,Agg Assault,8
2011-09-17,Auto Theft,17
2011-09-17,Burglary,19
2011-09-17,Larceny-From Vehicle,26
2011-09-17,Larceny-Non Vehicle,17
2011-09-17,Robbery,6
2011-09-18,Agg Assault,7
2011-09-18,Auto Theft,11
2011-09-18,Burglary,18
2011-09-18,Larceny-From Vehicle,21
2011-09-18,Larceny-Non Vehicle,22
2011-09-18,Robbery,6
2011-09-19,Agg Assault,9
2011-09-19,Auto Theft,13
2011-09-19,Burglary,27
2011-09-19,Homicide,1
2011-09-19,Larceny-From Vehicle,14
2011-09-19,Larceny-Non Vehicle,37
2011-09-19,Robbery,5
2011-09-20,Agg Assault,4
2011-09-20,Auto Theft,11
2011-09-20,Burglary,19
2011-09-20,Larceny-From Vehicle,24
2011-09-20,Larceny-Non Vehicle,24
2011-09-20,Robbery,5
2011-09-21,Agg Assault,4
2011-09-21,Auto Theft,10
2011-09-21,Burglary,23
2011-09-21,Larceny-From Vehicle,21
2011-09-21,Larceny-Non Vehicle,24
2011-09-21,Robbery,3
2011-09-22,Agg Assault,13
2011-09-22,Auto Theft,14
2011-09-22,Burglary,24
2011-09-22,Larceny-From Vehicle,28
2011-09-22,Larceny-Non Vehicle,28
2011-09-22,Robbery,5
2011-09-23,Agg Assault,9
2011-09-23,Auto Theft,17
2011-09-23,Burglary,17
2011-09-23,Larceny-From Vehicle,32
2011-09-23,Larceny-Non Vehicle,32
2011-09-23,Robbery,8
2011-09-24,Agg Assault,10
2011-09-24,Auto Theft,15
2011-09-24,Burglary,18
2011-09-24,Larceny-From Vehicle,27
2011-09-24,Larceny-Non Vehicle,24
2011-09-24,Robbery,6
2011-09-25,Agg Assault,6
2011-09-25,Auto Theft,23
2011-09-25,Burglary,16
2011-09-25,Larceny-From Vehicle,17
2011-09-25,Larceny-Non Vehicle,16
2011-09-25,Robbery,7
2011-09-26,Agg Assault,8
2011-09-26,Auto Theft,19
2011-09-26,Burglary,29
2011-09-26,Homicide,1
2011-09-26,Larceny-From Vehicle,25
2011-09-26,Larceny-Non Vehicle,30
2011-09-26,Robbery,4
2011-09-27,Agg Assault,10
2011-09-27,Auto Theft,17
2011-09-27,Burglary,21
2011-09-27,Larceny-From Vehicle,24
2011-09-27,Larceny-Non Vehicle,37
2011-09-27,Robbery,6
2011-09-28,Agg Assault,5
2011-09-28,Auto Theft,9
2011-09-28,Burglary,17
2011-09-28,Larceny-From Vehicle,17
2011-09-28,Larceny-Non Vehicle,34
2011-09-28,Robbery,5
2011-09-29,Agg Assault,9
2011-09-29,Auto Theft,10
2011-09-29,Burglary,22
2011-09-29,Larceny-From Vehicle,19
2011-09-29,Larceny-Non Vehicle,30
2011-09-29,Robbery,3
2011-09-30,Agg Assault,8
2011-09-30,Auto Theft,11
2011-09-30,Burglary,23
2011-09-30,Larceny-From Vehicle,23
2011-09-30,Larceny-Non Vehicle,26
2011-09-30,Robbery,8
2011-10-01,Agg Assault,6
2011-10-01,Auto Theft,10
2011-10-01,Burglary,8
2011-10-01,Homicide,1
2011-10-01,Larceny-From Vehicle,14
2011-10-01,Larceny-Non Vehicle,28
2011-10-01,Robbery,7
2011-10-02,Agg Assault,7
2011-10-02,Auto Theft,14
2011-10-02,Burglary,16
2011-10-02,Larceny-From Vehicle,23
2011-10-02,Larceny-Non Vehicle,7
2011-10-02,Robbery,11
2011-10-03,Agg Assault,5
2011-10-03,Auto Theft,14
2011-10-03,Burglary,25
2011-10-03,Larceny-From Vehicle,31
2011-10-03,Larceny-Non Vehicle,18
2011-10-03,Robbery,9
2011-10-04,Agg Assault,9
2011-10-04,Auto Theft,13
2011-10-04,Burglary,18
2011-10-04,Larceny-From Vehicle,18
2011-10-04,Larceny-Non Vehicle,29
2011-10-04,Robbery,6
2011-10-05,Agg Assault,7
2011-10-05,Auto Theft,12
2011-10-05,Burglary,21
2011-10-05,Larceny-From Vehicle,14
2011-10-05,Larceny-Non Vehicle,30
2011-10-05,Robbery,5
2011-10-06,Agg Assault,6
2011-10-06,Auto Theft,17
2011-10-06,Burglary,18
2011-10-06,Homicide,1
2011-10-06,Larceny-From Vehicle,18
2011-10-06,Larceny-Non Vehicle,36
2011-10-06,Robbery,7
2011-10-07,Agg Assault,9
2011-10-07,Auto Theft,15
2011-10-07,Burglary,21
2011-10-07,Larceny-From Vehicle,27
2011-10-07,Larceny-Non Vehicle,33
2011-10-07,Robbery,3
2011-10-08,Agg Assault,7
2011-10-08,Auto Theft,17
2011-10-08,Burglary,19
2011-10-08,Homicide,1
2011-10-08,Larceny-From Vehicle,19
2011-10-08,Larceny-Non Vehicle,28
2011-10-08,Robbery,5
2011-10-09,Agg Assault,6
2011-10-09,Auto Theft,22
2011-10-09,Burglary,14
2011-10-09,Larceny-From Vehicle,30
2011-10-09,Larceny-Non Vehicle,19
2011-10-09,Robbery,11
2011-10-10,Agg Assault,6
2011-10-10,Auto Theft,12
2011-10-10,Burglary,28
2011-10-10,Larceny-From Vehicle,32
2011-10-10,Larceny-Non Vehicle,34
2011-10-10,Robbery,5
2011-10-11,Agg Assault,3
2011-10-11,Auto Theft,24
2011-10-11,Burglary,16
2011-10-11,Larceny-From Vehicle,25
2011-10-11,Larceny-Non Vehicle,26
2011-10-11,Robbery,4
2011-10-12,Agg Assault,6
2011-10-12,Auto Theft,20
2011-10-12,Burglary,20
2011-10-12,Larceny-From Vehicle,38
2011-10-12,Larceny-Non Vehicle,30
2011-10-12,Robbery,4
2011-10-13,Agg Assault,7
2011-10-13,Auto Theft,14
2011-10-13,Burglary,24
2011-10-13,Larceny-From Vehicle,23
2011-10-13,Larceny-Non Vehicle,29
2011-10-13,Robbery,7
2011-10-14,Agg Assault,9
2011-10-14,Auto Theft,7
2011-10-14,Burglary,9
2011-10-14,Larceny-From Vehicle,15
2011-10-14,Larceny-Non Vehicle,31
2011-10-14,Robbery,3
2011-10-15,Agg Assault,4
2011-10-15,Auto Theft,16
2011-10-15,Burglary,18
2011-10-15,Homicide,1
2011-10-15,Larceny-From Vehicle,24
2011-10-15,Larceny-Non Vehicle,29
2011-10-15,Robbery,8
2011-10-16,Agg Assault,9
2011-10-16,Auto Theft,10
2011-10-16,Burglary,17
2011-10-16,Homicide,2
2011-10-16,Larceny-From Vehicle,35
2011-10-16,Larceny-Non Vehicle,8
2011-10-16,Robbery,2
2011-10-17,Agg Assault,3
2011-10-17,Auto Theft,17
2011-10-17,Burglary,23
2011-10-17,Larceny-From Vehicle,36
2011-10-17,Larceny-Non Vehicle,28
2011-10-17,Robbery,3
2011-10-18,Agg Assault,7
2011-10-18,Auto Theft,10
2011-10-18,Burglary,29
2011-10-18,Larceny-From Vehicle,20
2011-10-18,Larceny-Non Vehicle,33
2011-10-18,Robbery,9
2011-10-19,Agg Assault,7
2011-10-19,Auto Theft,9
2011-10-19,Burglary,22
2011-10-19,Larceny-From Vehicle,36
2011-10-19,Larceny-Non Vehicle,23
2011-10-19,Robbery,11
2011-10-20,Agg Assault,5
2011-10-20,Auto Theft,12
2011-10-20,Burglary,18
2011-10-20,Larceny-From Vehicle,25
2011-10-20,Larceny-Non Vehicle,26
2011-10-20,Robbery,8
2011-10-21,Agg Assault,2
2011-10-21,Auto Theft,15
2011-10-21,Burglary,19
2011-10-21,Larceny-From Vehicle,17
2011-10-21,Larceny-Non Vehicle,32
2011-10-21,Robbery,6
2011-10-22,Agg Assault,8
2011-10-22,Auto Theft,14
2011-10-22,Burglary,15
2011-10-22,Larceny-From Vehicle,26
2011-10-22,Larceny-Non Vehicle,21
2011-10-22,Robbery,9
2011-10-23,Agg Assault,5
2011-10-23,Auto Theft,16
2011-10-23,Burglary,15
2011-10-23,Larceny-From Vehicle,34
2011-10-23,Larceny-Non Vehicle,22
2011-10-23,Robbery,2
2011-10-24,Agg Assault,6
2011-10-24,Auto Theft,12
2011-10-24,Burglary,28
2011-10-24,Larceny-From Vehicle,29
2011-10-24,Larceny-Non Vehicle,41
2011-10-24,Robbery,3
2011-10-25,Agg Assault,4
2011-10-25,Auto Theft,7
2011-10-25,Burglary,22
2011-10-25,Larceny-From Vehicle,18
2011-10-25,Larceny-Non Vehicle,34
2011-10-25,Robbery,14
2011-10-26,Agg Assault,6
2011-10-26,Auto Theft,10
2011-10-26,Burglary,22
2011-10-26,Larceny-From Vehicle,26
2011-10-26,Larceny-Non Vehicle,28
2011-10-26,Robbery,7
2011-10-27,Agg Assault,6
2011-10-27,Auto Theft,12
2011-10-27,Burglary,22
2011-10-27,Larceny-From Vehicle,25
2011-10-27,Larceny-Non Vehicle,37
2011-10-27,Robbery,5
2011-10-28,Agg Assault,5
2011-10-28,Auto Theft,11
2011-10-28,Burglary,19
2011-10-28,Larceny-From Vehicle,26
2011-10-28,Larceny-Non Vehicle,31
2011-10-28,Robbery,4
2011-10-29,Agg Assault,7
2011-10-29,Auto Theft,16
2011-10-29,Burglary,14
2011-10-29,Larceny-From Vehicle,27
2011-10-29,Larceny-Non Vehicle,16
2011-10-29,Robbery,6
2011-10-30,Agg Assault,5
2011-10-30,Auto Theft,22
2011-10-30,Burglary,10
2011-10-30,Homicide,1
2011-10-30,Larceny-From Vehicle,30
2011-10-30,Larceny-Non Vehicle,11
2011-10-30,Robbery,4
2011-10-31,Agg Assault,4
2011-10-31,Auto Theft,28
2011-10-31,Burglary,33
2011-10-31,Larceny-From Vehicle,22
2011-10-31,Larceny-Non Vehicle,29
2011-10-31,Robbery,9
2011-11-01,Agg Assault,9
2011-11-01,Auto Theft,13
2011-11-01,Burglary,21
2011-11-01,Larceny-From Vehicle,20
2011-11-01,Larceny-Non Vehicle,35
2011-11-01,Robbery,5
2011-11-02,Agg Assault,8
2011-11-02,Auto Theft,13
2011-11-02,Burglary,20
2011-11-02,Homicide,1
2011-11-02,Larceny-From Vehicle,23
2011-11-02,Larceny-Non Vehicle,25
2011-11-02,Robbery,5
2011-11-03,Agg Assault,8
2011-11-03,Auto Theft,13
2011-11-03,Burglary,17
2011-11-03,Larceny-From Vehicle,14
2011-11-03,Larceny-Non Vehicle,31
2011-11-03,Robbery,6
2011-11-04,Agg Assault,3
2011-11-04,Auto Theft,15
2011-11-04,Burglary,15
2011-11-04,Larceny-From Vehicle,22
2011-11-04,Larceny-Non Vehicle,31
2011-11-04,Robbery,8
2011-11-05,Agg Assault,8
2011-11-05,Auto Theft,20
2011-11-05,Burglary,11
2011-11-05,Homicide,1
2011-11-05,Larceny-From Vehicle,20
2011-11-05,Larceny-Non Vehicle,22
2011-11-05,Robbery,9
2011-11-06,Agg Assault,6
2011-11-06,Auto Theft,8
2011-11-06,Burglary,21
2011-11-06,Larceny-From Vehicle,23
2011-11-06,Larceny-Non Vehicle,19
2011-11-06,Robbery,7
2011-11-07,Agg Assault,6
2011-11-07,Auto Theft,10
2011-11-07,Burglary,21
2011-11-07,Larceny-From Vehicle,23
2011-11-07,Larceny-Non Vehicle,26
2011-11-07,Robbery,12
2011-11-08,Agg Assault,7
2011-11-08,Auto Theft,9
2011-11-08,Burglary,16
2011-11-08,Larceny-From Vehicle,21
2011-11-08,Larceny-Non Vehicle,31
2011-11-08,Robbery,9
2011-11-09,Agg Assault,8
2011-11-09,Auto Theft,13
2011-11-09,Burglary,23
2011-11-09,Homicide,1
2011-11-09,Larceny-From Vehicle,21
2011-11-09,Larceny-Non Vehicle,35
2011-11-09,Robbery,7
2011-11-10,Agg Assault,4
2011-11-10,Auto Theft,23
2011-11-10,Burglary,22
2011-11-10,Larceny-From Vehicle,25
2011-11-10,Larceny-Non Vehicle,32
2011-11-10,Robbery,5
2011-11-11,Agg Assault,5
2011-11-11,Auto Theft,16
2011-11-11,Burglary,23
2011-11-11,Larceny-From Vehicle,17
2011-11-11,Larceny-Non Vehicle,26
2011-11-11,Robbery,7
2011-11-12,Agg Assault,2
2011-11-12,Auto Theft,16
2011-11-12,Burglary,16
2011-11-12,Homicide,1
2011-11-12,Larceny-From Vehicle,29
2011-11-12,Larceny-Non Vehicle,23
2011-11-12,Robbery,11
2011-11-13,Agg Assault,8
2011-11-13,Auto Theft,15
2011-11-13,Burglary,9
2011-11-13,Homicide,1
2011-11-13,Larceny-From Vehicle,43
2011-11-13,Larceny-Non Vehicle,17
2011-11-13,Robbery,10
2011-11-14,Agg Assault,8
2011-11-14,Auto Theft,10
2011-11-14,Burglary,20
2011-11-14,Larceny-From Vehicle,22
2011-11-14,Larceny-Non Vehicle,21
2011-11-14,Robbery,11
